"scenario","region","technology","mean_Jobs","min_Jobs","max_Jobs"
"EQP-A-MAIN","Argentina","TEW",75049.79316828,75049.79316828,75049.79316828
"EQP-A-MAIN","Australia_NZ","BECCS",688808.55598752,57400.71299896,1722021.3899688
"EQP-A-MAIN","Australia_NZ","DAC",2043184.971204,2043184.971204,2043184.971204
"EQP-A-MAIN","Australia_NZ","OEW",212112.5145697,212112.5145697,212112.5145697
"EQP-A-MAIN","Australia_NZ","TEW",58003.94461988,58003.94461988,58003.94461988
"EQP-A-MAIN","Brazil","BECCS",2405010.5058444,200417.5421537,6012526.264611
"EQP-A-MAIN","Brazil","DAC",10341971.035722,10341971.035722,10341971.035722
"EQP-A-MAIN","Brazil","OEW",1527111.6528458,1527111.6528458,1527111.6528458
"EQP-A-MAIN","Brazil","TEW",173748.4232754,173748.4232754,173748.4232754
"EQP-A-MAIN","Canada","BECCS",887781.93563232,73981.82796936,2219454.8390808
"EQP-A-MAIN","Canada","DAC",2040298.671837,2040298.671837,2040298.671837
"EQP-A-MAIN","Canada","OEW",227676.2977638,227676.2977638,227676.2977638
"EQP-A-MAIN","Canada","TEW",64883.12888342,64883.12888342,64883.12888342
"EQP-A-MAIN","Central America and Caribbean","BECCS",1877601.73919124,156466.81159927,4694004.3479781
"EQP-A-MAIN","Central America and Caribbean","DAC",3358636.575843,3358636.575843,3358636.575843
"EQP-A-MAIN","Central America and Caribbean","OEW",745030.264534,745030.264534,745030.264534
"EQP-A-MAIN","Central America and Caribbean","TEW",36298.83887448,36298.83887448,36298.83887448
"EQP-A-MAIN","Central Asia","BECCS",1223362.56674928,101946.88056244,3058406.4168732
"EQP-A-MAIN","Central Asia","DAC",4268363.46777,4268363.46777,4268363.46777
"EQP-A-MAIN","Central Asia","OEW",572441.1486406,572441.1486406,572441.1486406
"EQP-A-MAIN","Central Asia","TEW",78778.97771424,78778.97771424,78778.97771424
"EQP-A-MAIN","China","BECCS",16878882.48438,1406573.540365,42197206.21095
"EQP-A-MAIN","China","DAC",39738046.5213,39738046.5213,39738046.5213
